sample,n_unique_pe,n_unm_both_pe,n_unm1_pe,n_unm2_pe
ec1f4523-1e3c-40ea-b1ca-9c8d45c4b2f1_gdc_realn_rehead,112853829,1425166,614728,1976567
ec3083b6-01bf-4786-b497-6386cf8c8c2f_gdc_realn_rehead,56773207,246112,433951,1347560
ec45c6b7-4f9d-4ed0-88c5-e299bb080796_gdc_realn_rehead,44683190,144182,251597,665168
ed62afa2-3aba-4145-87cf-81fd83995bcc_gdc_realn_rehead,78622803,876688,639526,1647981
ed7cb4ed-535d-4a6a-b69f-f32e36a70bfa_gdc_realn_rehead,82996389,783899,325070,3402795
ede95e93-3dbc-4466-a13b-3760fdac6725_gdc_realn_rehead,79185007,2130333,545416,1501814
edec2c3f-f55f-49f8-aef2-06a59b916223_gdc_realn_rehead,107057400,845933,1162002,2576497
edf8425b-8f0e-46d0-9414-c3c34bdd1825_gdc_realn_rehead,82393411,905225,299340,2768272
eea9c3ca-f66c-471e-8de8-b13af4bc3035_gdc_realn_rehead,58348930,198758,999169,3129264
ef02f153-1aa1-443b-a2ec-acfb0d4df642_gdc_realn_rehead,77878100,293860,555235,1285596
ef7f7b28-be50-473c-8ef2-024df14ab9db_gdc_realn_rehead,36434750,359189,318884,777965
ef83997e-5078-41b9-88bb-c8a7797de7b9_gdc_realn_rehead,58170410,928564,445059,1630491
efdefcf1-058e-4a6f-94f7-025281072a57_gdc_realn_rehead,39219684,118635,532967,796162
f0230c35-06f0-4ef2-ad92-cdead9cd3612_gdc_realn_rehead,39096832,2870360,425668,882654
f0834293-e53f-4da7-98d2-58c8c806ece4_gdc_realn_rehead,88625154,331868,553172,1864567
f09dc623-3571-49dd-a03c-39d2339bee6b_gdc_realn_rehead,105682279,784133,1295980,2837995
f1e561b4-5885-4237-aad3-b8d3086a4a91_gdc_realn_rehead,89773819,1183605,529053,1677258
f2d675c9-7f81-4316-ab53-32603e23cef2_gdc_realn_rehead,50064343,245016,427747,1161164
f30a90f0-d618-4203-84ec-1a541c937422_gdc_realn_rehead,37839309,148812,326364,956087
f352439c-7abf-4d58-8cd2-d2f8293e01b8_gdc_realn_rehead,56088590,370144,810691,3793399
f3b4ecc6-9529-4e99-8c82-097c79cdb18d_gdc_realn_rehead,34243316,95822,261522,754948
f493fc9c-abd8-4623-b03b-6300c13a3198_gdc_realn_rehead,53208510,293417,483330,1437662
f4f6d8c0-a78d-4ee1-93e1-48a8c9d23cb4_gdc_realn_rehead,69148522,602295,538619,2799783
f506727a-caaa-47e2-9743-aa6a695d85f4_gdc_realn_rehead,42852092,189425,337478,1078241
f51b0451-6e87-478f-be27-e435716baa58_gdc_realn_rehead,74844705,544485,536686,1425512
f65f08cc-70e8-4ff0-b96f-2105c8e9e3b5_gdc_realn_rehead,35267143,144964,180058,529491
f6964ff1-86fc-4c15-9c8a-6483e730d6ca_gdc_realn_rehead,55257445,1289495,379019,1146416
f6ad3404-02e4-43cf-9635-53194a0ce6eb_gdc_realn_rehead,38728247,184170,358621,677602
f6bbc724-a65b-4dff-bf3f-8860c8f3f6c0_gdc_realn_rehead,101711316,1350702,815208,2381633
f7f51052-0994-49aa-b55a-f84b21429e80_gdc_realn_rehead,99773397,17467138,465221,1214134
f80010ab-f72c-4bca-864d-e36fef38d2f6_gdc_realn_rehead,71082449,520199,349286,922825
f961d2bf-a79d-424e-bdde-b61be23a812d_gdc_realn_rehead,136132651,977448,1215357,3548950
f9b76a95-3662-4d4f-af06-0c2c270934fe_gdc_realn_rehead,50879923,299908,495709,1102032
fa48365f-fe1b-44e6-94fc-c52b8a1ed7a0_gdc_realn_rehead,55476456,344152,733504,1867284
fa7246ef-c9ef-4494-9a5c-31b6eb90e802_gdc_realn_rehead,40344450,310037,500206,3878093
fa78346e-fefc-402c-90ed-9eb47b7535c9_gdc_realn_rehead,49450661,215474,378966,1655814
fa873c9a-307c-4648-bc8e-7f378cba203b_gdc_realn_rehead,60587970,304162,613046,1612019
faa037d3-17a1-4fc7-a97d-b1cc7939b63a_gdc_realn_rehead,41673457,938378,258421,599774
fab69797-095e-43b5-bb4f-1352f189b74b_gdc_realn_rehead,85711482,797802,647394,1807131
fb0ea13e-3101-49ea-a6c7-16bd08e1f4e7_gdc_realn_rehead,101594063,861688,786439,2342400
fb58711e-3506-44e3-b668-e69a823a2f81_gdc_realn_rehead,48435732,118213,432913,1121048
fb891a85-37cc-4dd6-a809-7a0ebbb9ad62_gdc_realn_rehead,29385152,289705,232304,784850
fb9ed024-85f7-4d1d-95a1-fc8dd94b9fd7_gdc_realn_rehead,102308714,1094385,849240,2485826
fc1eb4dd-f37e-4083-81cf-1f66df5d9e35_gdc_realn_rehead,48769828,331628,730490,626983
fc54ebaf-5f7e-4f81-964d-832b771fec36_gdc_realn_rehead,106747651,1156828,599000,1500136
fcbdf83c-a4a2-4af4-ab23-8d7371516786_gdc_realn_rehead,99756458,604154,609737,1348634
fd115281-11b4-40c6-8630-302d801c1a2b_gdc_realn_rehead,68773079,1197402,394412,1111928
fd89981a-e0ad-425b-a456-60edba4bd7a5_gdc_realn_rehead,40812452,362705,480478,4465307
fed55b2d-2c04-4a5b-b714-38962c061f72_gdc_realn_rehead,82307856,1403021,888433,2033657
ff2933b8-ae30-4496-9c79-3a99c10961a2_gdc_realn_rehead,101194023,1170396,799964,2956085
ff339b43-5721-4531-a826-e6f3fec3eda5_gdc_realn_rehead,31907942,40007,190256,767066
ff66bffd-adb7-4988-b1b9-fee069234eff_gdc_realn_rehead,61989421,485379,559894,1208596
ffcb5ac6-a396-4fae-a4f5-08760f13e96c_gdc_realn_rehead,30348550,264608,256710,612959
ffd63a6c-92e0-44cd-a6d4-a0cd86b59209_gdc_realn_rehead,132787331,2525713,1272633,2274528
