Sample ID,chain_type,rna_count
TCGA-MP-A4TJ-01A,TRA,423
TCGA-MP-A4TJ-01A,TRB,5
TCGA-MP-A4TJ-01A,TRD,19
TCGA-MP-A4TJ-01A,TRG,1
TCGA-44-6775-01C,IGH,11
TCGA-44-6775-01C,IGL,52
TCGA-44-6775-01C,IGK,431
TCGA-44-6775-01C,TRA,83
TCGA-44-6775-01C,TRB,3
TCGA-44-6775-01C,TRD,2
TCGA-44-6775-01C,TRG,0
TCGA-86-7713-01A,IGH,103
TCGA-86-7713-01A,IGL,393
TCGA-86-7713-01A,IGK,770
TCGA-86-7713-01A,TRA,110
TCGA-86-7713-01A,TRB,4
TCGA-86-7713-01A,TRD,9
TCGA-86-7713-01A,TRG,0
TCGA-44-6776-01A,IGH,10
TCGA-44-6776-01A,IGL,61
TCGA-44-6776-01A,IGK,171
TCGA-44-6776-01A,TRA,45
TCGA-44-6776-01A,TRB,1
TCGA-44-6776-01A,TRD,4
TCGA-44-6776-01A,TRG,0
TCGA-55-6985-01A,IGH,57
TCGA-55-6985-01A,IGL,283
TCGA-55-6985-01A,IGK,817
TCGA-55-6985-01A,TRA,173
TCGA-55-6985-01A,TRB,0
TCGA-55-6985-01A,TRD,6
TCGA-55-6985-01A,TRG,0
TCGA-75-6214-01A,IGH,5
TCGA-75-6214-01A,IGL,28
TCGA-75-6214-01A,IGK,51
TCGA-75-6214-01A,TRA,26
TCGA-75-6214-01A,TRB,0
TCGA-75-6214-01A,TRD,1
TCGA-75-6214-01A,TRG,0
TCGA-38-7271-01A,IGH,158
TCGA-38-7271-01A,IGL,695
TCGA-38-7271-01A,IGK,1803
TCGA-38-7271-01A,TRA,407
TCGA-38-7271-01A,TRB,14
TCGA-38-7271-01A,TRD,14
TCGA-38-7271-01A,TRG,0
TCGA-50-5933-01A,IGH,26
TCGA-50-5933-01A,IGL,205
TCGA-50-5933-01A,IGK,448
TCGA-50-5933-01A,TRA,74
TCGA-50-5933-01A,TRB,2
TCGA-50-5933-01A,TRD,2
TCGA-50-5933-01A,TRG,0
TCGA-49-4512-01A,IGH,10
TCGA-49-4512-01A,IGL,48
TCGA-49-4512-01A,IGK,231
TCGA-49-4512-01A,TRA,57
TCGA-49-4512-01A,TRB,3
TCGA-49-4512-01A,TRD,2
TCGA-49-4512-01A,TRG,0
TCGA-78-7145-01A,IGH,13
TCGA-78-7145-01A,IGL,52
TCGA-78-7145-01A,IGK,178
TCGA-78-7145-01A,TRA,55
TCGA-78-7145-01A,TRB,1
TCGA-78-7145-01A,TRD,4
TCGA-78-7145-01A,TRG,0
TCGA-55-8510-01A,IGH,24
TCGA-55-8510-01A,IGL,171
TCGA-55-8510-01A,IGK,484
TCGA-55-8510-01A,TRA,113
TCGA-55-8510-01A,TRB,8
TCGA-55-8510-01A,TRD,4
TCGA-55-8510-01A,TRG,1
TCGA-55-7910-01A,IGH,120
TCGA-55-7910-01A,IGL,526
TCGA-55-7910-01A,IGK,1454
TCGA-55-7910-01A,TRA,404
TCGA-55-7910-01A,TRB,2
TCGA-55-7910-01A,TRD,9
TCGA-55-7910-01A,TRG,1
TCGA-86-7711-01A,IGH,132
TCGA-86-7711-01A,IGL,432
TCGA-86-7711-01A,IGK,1454
TCGA-86-7711-01A,TRA,321
TCGA-86-7711-01A,TRB,2
TCGA-86-7711-01A,TRD,6
TCGA-86-7711-01A,TRG,0
TCGA-05-4396-01A,IGH,21
TCGA-05-4396-01A,IGL,40
TCGA-05-4396-01A,IGK,144
TCGA-05-4396-01A,TRA,34
TCGA-05-4396-01A,TRB,3
TCGA-05-4396-01A,TRD,1
TCGA-05-4396-01A,TRG,0
TCGA-80-5611-01A,IGH,28
TCGA-80-5611-01A,IGL,179
TCGA-80-5611-01A,IGK,326
TCGA-80-5611-01A,TRA,79
TCGA-80-5611-01A,TRB,1
TCGA-80-5611-01A,TRD,1
TCGA-80-5611-01A,TRG,0
TCGA-64-1677-01A,IGH,42
TCGA-64-1677-01A,IGL,372
TCGA-64-1677-01A,IGK,904
TCGA-64-1677-01A,TRA,162
TCGA-64-1677-01A,TRB,3
TCGA-64-1677-01A,TRD,5
TCGA-64-1677-01A,TRG,0
TCGA-86-8280-01A,IGH,338
TCGA-86-8280-01A,IGL,922
TCGA-86-8280-01A,IGK,2945
TCGA-86-8280-01A,TRA,941
TCGA-86-8280-01A,TRB,8
TCGA-86-8280-01A,TRD,24
TCGA-86-8280-01A,TRG,0
TCGA-55-8205-01A,IGH,116
TCGA-55-8205-01A,IGL,434
